類型,站點名稱,連結
去程,蘆洲總站,stop.jsp?sid=36021
去程,王爺廟口,stop.jsp?sid=36022
去程,空中大學(中正路),stop.jsp?sid=36023
去程,中原公寓,stop.jsp?sid=36024
去程,蘆洲國小,stop.jsp?sid=36025
去程,蘆洲監理站,stop.jsp?sid=36026
去程,蘆洲派出所,stop.jsp?sid=36027
去程,溪墘,stop.jsp?sid=36028
去程,捷運徐匯中學站,stop.jsp?sid=36029
去程,徐匯中學,stop.jsp?sid=36030
去程,幸福市場,stop.jsp?sid=36031
去程,建和新村,stop.jsp?sid=36032
去程,捷運三和國中站,stop.jsp?sid=129828
去程,三和國中,stop.jsp?sid=36033
去程,格致中學(三和路),stop.jsp?sid=36034
去程,厚德派出所,stop.jsp?sid=36036
去程,德林寺(三和路),stop.jsp?sid=36038
去程,龍門路口,stop.jsp?sid=36039
去程,三安里,stop.jsp?sid=36040
去程,長壽西街口,stop.jsp?sid=36041
去程,長元西街口,stop.jsp?sid=36042
去程,正義重新路口,stop.jsp?sid=36043
去程,天台廣場,stop.jsp?sid=36044
去程,大同路口,stop.jsp?sid=36045
去程,中山藝術公園,stop.jsp?sid=36046
去程,捷運菜寮站,stop.jsp?sid=218023
去程,過圳街,stop.jsp?sid=36047
去程,三重區公所(過圳街),stop.jsp?sid=36048
去程,三重稅捐分處,stop.jsp?sid=36049
去程,菜寮(重陽路),stop.jsp?sid=36050
去程,集美國小,stop.jsp?sid=36051
去程,三重國民運動中心,stop.jsp?sid=36052
去程,三重中學,stop.jsp?sid=36053
去程,重安街口,stop.jsp?sid=36054
去程,臺北車站(忠孝),stop.jsp?sid=36055
去程,捷運善導寺站,stop.jsp?sid=36056
去程,華山文創園區,stop.jsp?sid=36057
去程,忠孝國小,stop.jsp?sid=36058
去程,臺北科技大學(忠孝),stop.jsp?sid=36059
去程,正義郵局,stop.jsp?sid=36060
去程,懷生國中,stop.jsp?sid=36061
去程,頂好市場,stop.jsp?sid=36063
去程,捷運忠孝敦化站,stop.jsp?sid=36064
去程,阿波羅大廈,stop.jsp?sid=36065
去程,交通部觀光署,stop.jsp?sid=36066
去程,捷運國父紀念館站(忠孝),stop.jsp?sid=36067
去程,聯合報,stop.jsp?sid=36068
去程,捷運市政府站,stop.jsp?sid=36069
去程,市立工農,stop.jsp?sid=36070
去程,捷運永春站(忠孝),stop.jsp?sid=36071
去程,捷運永春站(松山),stop.jsp?sid=36072
去程,雙永國小,stop.jsp?sid=36073
去程,永吉松山路口,stop.jsp?sid=36074
去程,松山車站(松山),stop.jsp?sid=36075
去程,蘆洲總站,stop.jsp?sid=36021
去程,王爺廟口,stop.jsp?sid=36022
去程,空中大學(中正路),stop.jsp?sid=36023
去程,中原公寓,stop.jsp?sid=36024
去程,蘆洲國小,stop.jsp?sid=36025
去程,蘆洲監理站,stop.jsp?sid=36026
去程,蘆洲派出所,stop.jsp?sid=36027
去程,溪墘,stop.jsp?sid=36028
去程,捷運徐匯中學站,stop.jsp?sid=36029
去程,徐匯中學,stop.jsp?sid=36030
去程,幸福市場,stop.jsp?sid=36031
去程,建和新村,stop.jsp?sid=36032
去程,捷運三和國中站,stop.jsp?sid=129828
去程,三和國中,stop.jsp?sid=36033
去程,格致中學(三和路),stop.jsp?sid=36034
去程,厚德派出所,stop.jsp?sid=36036
去程,德林寺(三和路),stop.jsp?sid=36038
去程,龍門路口,stop.jsp?sid=36039
去程,三安里,stop.jsp?sid=36040
去程,長壽西街口,stop.jsp?sid=36041
去程,長元西街口,stop.jsp?sid=36042
去程,正義重新路口,stop.jsp?sid=36043
去程,天台廣場,stop.jsp?sid=36044
去程,大同路口,stop.jsp?sid=36045
去程,中山藝術公園,stop.jsp?sid=36046
去程,捷運菜寮站,stop.jsp?sid=218023
去程,過圳街,stop.jsp?sid=36047
去程,三重區公所(過圳街),stop.jsp?sid=36048
去程,三重稅捐分處,stop.jsp?sid=36049
去程,菜寮(重陽路),stop.jsp?sid=36050
去程,集美國小,stop.jsp?sid=36051
去程,三重國民運動中心,stop.jsp?sid=36052
去程,三重中學,stop.jsp?sid=36053
去程,重安街口,stop.jsp?sid=36054
去程,臺北車站(忠孝),stop.jsp?sid=36055
去程,捷運善導寺站,stop.jsp?sid=36056
去程,華山文創園區,stop.jsp?sid=36057
去程,忠孝國小,stop.jsp?sid=36058
去程,臺北科技大學(忠孝),stop.jsp?sid=36059
去程,正義郵局,stop.jsp?sid=36060
去程,懷生國中,stop.jsp?sid=36061
去程,頂好市場,stop.jsp?sid=36063
去程,捷運忠孝敦化站,stop.jsp?sid=36064
去程,阿波羅大廈,stop.jsp?sid=36065
去程,交通部觀光署,stop.jsp?sid=36066
去程,捷運國父紀念館站(忠孝),stop.jsp?sid=36067
去程,聯合報,stop.jsp?sid=36068
去程,捷運市政府站,stop.jsp?sid=36069
去程,市立工農,stop.jsp?sid=36070
去程,捷運永春站(忠孝),stop.jsp?sid=36071
去程,捷運永春站(松山),stop.jsp?sid=36072
去程,雙永國小,stop.jsp?sid=36073
去程,永吉松山路口,stop.jsp?sid=36074
去程,松山車站(松山),stop.jsp?sid=36075
去程,蘆洲總站,stop.jsp?sid=36021
去程,王爺廟口,stop.jsp?sid=36022
去程,空中大學(中正路),stop.jsp?sid=36023
去程,中原公寓,stop.jsp?sid=36024
去程,蘆洲國小,stop.jsp?sid=36025
去程,蘆洲監理站,stop.jsp?sid=36026
去程,蘆洲派出所,stop.jsp?sid=36027
去程,溪墘,stop.jsp?sid=36028
去程,捷運徐匯中學站,stop.jsp?sid=36029
去程,徐匯中學,stop.jsp?sid=36030
去程,幸福市場,stop.jsp?sid=36031
