route_id,route_name
0100000A00,0東
0100000B00,0南
0100000100,1
0100000200,2
0100000500,5
0400000800,8
0100000900,9
0100001200,12
0100001400,14
0100001800,18
0100002000,20
0100002100,21
0100002200,22
0100002600,26
0100002800,28
0100003200,32
0100003300,33
0100003700,37
0100003800,38
0100003820,38區
0100003900,39
0100003940,39夜
0100004100,41
0100004200,42
0100004220,42區
0100004600,46
0100004900,49
0400005100,51
0100005200,52
0100005300,53
0400005700,57
0400006200,62
0100006300,63
0100006600,66
0100006800,68
0100007200,72
0100008800,88
0100008820,88區
0400009900,99
0100010800,108
0100010820,108區
0100010900,109
0100011100,111
0100012800,128
0100012900,129
0400017700,177瑞芳觀光公車
0400017900,179
0400020100,201
0100020200,202
0100020220,202區
0100020300,203
0100020400,204
0100020500,205
0100020600,206
0100020700,207
0100020800,208
0100020820,208區
0100020830,208直
0100021100,211
0100021200,212
0100021230,212直
0100021240,212夜
0100021400,214
0100021430,214直
0100021500,215
0100021600,216
0100021800,218
0100021820,218區
0100021830,218直
0100022100,221
0100022200,222
0100022300,223
0100022400,224
0100022500,225
0100022520,225區
0100022600,226
0100022700,227
0100022720,227區
0100023000,230
0400023100,231
0100023200,232
0100023250,232快
0100023400,234
0100023500,235
0100023620,236區
0100023700,237
0100024030,240直
0400024100,241
0400024200,242
0400024300,243
0400024500,245
0100024600,246
0100024700,247
0100024720,247區
0400024900,249
0100025000,250
0100025100,251
0100025120,251區
0100025200,252
0100025300,253
0100025400,254
0100025420,254區
0100025500,255
0100025520,255區
0100025600,256
0100025700,257
0100026000,260
0100026020,260區
0100026100,261
0100026200,262
0100026220,262區
0400026400,264
0100026520,265區
0100026540,265夜
0100026500,265經中央路
0100026590,265經明德路
0100026700,267
0100026800,268
0100027000,270
0100027020,270區
0100027400,274
0400027500,275
0100027600,276
0100027700,277
0100027800,278
0100027820,278區
0100027900,279
0100028000,280
0100028030,280直
0100028100,281
0100028200,282
0100028400,284
0100028600,286
0100028610,286副
0100028720,287區
0100028800,288
0400029010,290副
0400029070,290副萬和
0100029200,292
0100029210,292副
0100029400,294
0100029500,295
0100029510,295副
0100029700,297
0100029800,298
0100029900,299
0100030000,300
0100030200,302
0100030220,302區
0100030300,303
0100030320,303區
0100030400,304承德
0100030490,304重慶
0100030600,306
0100030620,306區
0100030700,307
0100030790,307西藏三民
0100030800,308
0100031000,310
0100031020,310區
0100031100,311
0100031120,311區
0100050500,505
0100050800,508
0100050820,508區
0100051300,513
0400052000,520
0100052100,521
0100052900,529
0100053000,530
0100053100,531
0100053600,536
0100053620,536區
0100053900,539
0100054200,542
0100055000,550
0100055100,551
0100055200,552
0100055300,553
0100055600,556
0100055700,557
0100055900,559
0100056800,568
0400057000,570
0400057100,571
0400057200,572
0400057300,573
0400057400,574
0400057500,575
0400057600,576
0454051100,577
0454021500,578
0454021600,579
0454022100,580
0454022200,581
0454022300,582
0400058270,582經洲子洋
0454058290,582經工業區
0454022500,583
0454050200,585
0454090600,586
0454090800,587
0454091200,589
0454091700,590
0454091800,591
0454070500,592
0454011200,593
0454011000,594
0454011100,595
0454050100,596
0100060000,600
0100060200,602
0100060400,604
0100060500,605
0100060510,605副
0100060550,605快
0100060590,605新台五
0100060600,606
0100061100,611
0100061200,612
0100061500,615
0100061600,616
0100061700,617
0100061710,617副
0100061800,618
0100062100,621
0100062200,622
0400062400,624
0400062470,624綠野香坡
0400062900,629
0400062920,629區
0100063000,630
0400063100,631
0400063500,635
0400063600,636
0400063700,637
0400063800,638
0400063810,638副
0400063900,639
0400064000,640
0100064100,641
0100064300,643
0100064400,644
0100064500,645
0100064510,645副
0100064600,646
0100064700,647
0100064800,648
0100065100,651
0100065200,652
0400065600,656
0400065700,657
0400065770,657延
0400065800,658
0100066000,660
0100066020,660區
0100066200,662
0100066300,663
0400066670,666烏塗窟
0400066690,666皇帝殿
0400066600,666華梵大學
0400066700,667
0100066800,668
0100066900,669
0100067000,670
0100067100,671
0100067200,672
0100067220,672區
0100067300,673
0100067500,675
0100067600,676
0400067700,677
0454091600,677副
0400067800,678
0100067900,679
0100068000,680
0100068100,681
0100068200,682
0100068300,683
0100068500,685
