方向,站序,站牌名稱,站牌ID,緯度,經度,預估時間
去程,1,三重客運新莊站,2387801040,25.005452,121.427285,進站中
去程,2,大安變電所(大安路),2426201720,25.005106,121.4314506,進站中
去程,3,正豐,2426200200,25.007876,121.432929,4分鐘
去程,4,西盛一,2426200300,25.00947,121.432866,進站中
去程,5,家麒新天地,2426200700,25.010698,121.432869,進站中
去程,6,西盛館,2426200800,25.012944,121.4327276,進站中
去程,7,東方之星,2426200900,25.015233,121.432839,進站中
去程,8,西盛,2426200500,25.019861,121.4337502,進站中
去程,9,新樹民安路口(新泰醫院),2426201200,25.021865,121.4348185,4分鐘
去程,10,建國二路口,2425701200,25.024536,121.435108,5分鐘
去程,11,建國後港路口,2425702000,25.02727,121.434989,6分鐘
去程,12,建國一路,2425700400,25.030458,121.434521,進站中
去程,13,捷運輔大站(建國一路),2425701100,25.031677,121.4339717,進站中
去程,14,捷運輔大站,2425800420,25.032612,121.435466,進站中
去程,15,盲人重建院,2425500220,25.033904,121.442607,3分鐘
去程,16,海山里,2425500420,25.034382,121.44483,3分鐘
去程,17,新泰中正路口,2424200600,25.036868,121.447999,進站中
去程,18,材試所,2424200100,25.039479,121.446462,3分鐘
去程,19,新泰國中南站,2424200400,25.040714,121.445653,4分鐘
去程,20,新莊棒球場(立功里立德里),2424201020,25.041709,121.446267,6分鐘
去程,21,新莊體育場(立功里),2424201120,25.042457,121.447989,7分鐘
去程,22,新莊田徑場(中和里),2424200720,25.043465,121.451981,8分鐘
去程,23,財元廣場,2424600420,25.044798,121.4534423,10分鐘
去程,24,中華路,2424900400,25.046303,121.453663,11分鐘
去程,25,正邦社區,2424600300,25.047732,121.452927,11分鐘
去程,26,幸福中華路口,2424700720,25.049192,121.453486,進站中
去程,27,幸福新城,2424701020,25.049301,121.456008,進站中
去程,28,幸福思源路口,2424700920,25.049369,121.457859,進站中
去程,29,幸福東路,2424700820,25.049397,121.461247,4分鐘
去程,30,化成路口,2425200220,25.049326,121.4650907,5分鐘
去程,31,頭前里,2425200400,25.050983,121.4660724,6分鐘
去程,32,頭前國小,2425200500,25.053343,121.466381,7分鐘
去程,33,善導庵,2425300200,25.05527,121.46607,8分鐘
去程,34,頭前庄,2425300300,25.057794,121.4655436,9分鐘
去程,35,新北大道化成路口,2425002220,25.061164,121.465274,進站中
去程,36,新北大道中興路口,2415800020,25.061344,121.468148,3分鐘
去程,37,新北大道中華路口,2416100320,25.061369,121.4830616,進站中
去程,38,臺北車站(忠孝),1004700420,25.046255,121.5170035,4分鐘
去程,39,捷運善導寺站,1005800120,25.044844,121.522629,7分鐘
去程,40,華山文創園區,1005000120,25.044024,121.526233,8分鐘
去程,41,忠孝國小,1005300020,25.042646,121.531172,10分鐘
去程,42,臺北科技大學(忠孝),1060800020,25.04203,121.53418,11分鐘
去程,43,正義郵局,1065500020,25.041606,121.5384398,12分鐘
去程,44,懷生國中,1065500220,25.04156,121.54088,13分鐘
去程,45,頂好市場,1069100320,25.041444,121.5476095,15分鐘
去程,46,捷運忠孝敦化站,1069000220,25.041391,121.5503749,進站中
去程,47,阿波羅大廈,1069200020,25.041262,121.553619,進站中
去程,48,交通部觀光署,1069400220,25.041267,121.5562668,進站中
去程,49,捷運國父紀念館站(忠孝),1107200220,25.04119,121.55934,進站中
去程,50,聯合報,1107100220,25.041134,121.5621064,進站中
去程,51,松山高中(松隆),1107000100,25.043571,121.5675915,7分鐘
去程,52,松隆路口,1107000420,25.044968,121.569714,8分鐘
去程,53,興雅國小,1106600320,25.04552,121.5716977,10分鐘
去程,54,國民住宅,1106300120,25.045455,121.574507,11分鐘
去程,55,永吉松山路口,1108900040,25.044863,121.5776905,12分鐘
去程,56,雙永國小,1106100040,25.042825,121.5777112,進站中
去程,57,永春公寓,1107600040,25.039975,121.5777181,進站中
去程,58,松山商職(松山),1107600140,25.036576,121.5783351,3分鐘
去程,59,永春高中,1108000040,25.033484,121.5796725,5分鐘
返程,1,永春高中,1108000000,25.033446,121.5797804,5分鐘
返程,2,松山商職(松山),1107600100,25.036029,121.578609,進站中
返程,3,永春公寓,1107600000,25.040006,121.5779488,進站中
返程,4,捷運永春站(松山),1106100100,25.04195,121.5778998,3分鐘
返程,5,雙永國小,1106200000,25.043558,121.5779186,4分鐘
返程,6,永吉松山路口,1106800060,25.045571,121.5767976,6分鐘
返程,7,國民住宅,1106300160,25.045661,121.5737034,6分鐘
返程,8,松隆路口,1107000460,25.045056,121.5694412,9分鐘
返程,9,松山高中(松隆),1107000140,25.043781,121.5675057,10分鐘
返程,10,聯合報,1107100260,25.041326,121.5630899,13分鐘
