公車到達時間,車站序號,車站名稱,車站編號,latitude,longitude
3分鐘,14,大業路(捷運北投站),1126800640,25.13174,121.495841
4分鐘,15,大業路(大興街口),1126800540,25.12976,121.49669
5分鐘,16,鳳甲美術館,1126800840,25.127225,121.4978596
6分鐘,17,大業路(農禪寺),1126800440,25.122429,121.499222
8分鐘,18,承德公館路口,1126200430,25.118907,121.501973
8分鐘,19,立農國小,1126200240,25.117433,121.503568
9分鐘,20,實踐街口,1126200640,25.114726,121.5064388
10分鐘,21,承德路七段,1126200540,25.112706,121.508727
3分鐘,23,文林國小,1128700140,25.108034,121.5139733
3分鐘,24,中正高中,1128700040,25.105059,121.517803
6分鐘,25,捷運芝山站(戲曲中心),1115900240,25.102263,121.5204736
7分鐘,26,捷運芝山站一,1115900340,25.100849,121.5223075
9分鐘,27,士林,1115900040,25.095911,121.5242793
6分鐘,29,捷運劍潭站(北藝中心),1114100440,25.084849,121.524748
4分鐘,32,明倫高中,1036700240,25.07344,121.5191524
7分鐘,33,庫倫街口,1036600040,25.071066,121.5183341
4分鐘,36,成淵高中,1036000040,25.062226,121.518152
7分鐘,37,民生西路口,1035300140,25.056725,121.5179896
4分鐘,40,南京吉林路口,1045700220,25.052007,121.529855
6分鐘,41,捷運松江南京站,1045700420,25.051969,121.5327305
8分鐘,42,南京建國路口,1048700320,25.051938,121.5362725
10分鐘,43,南京龍江路口,1048700420,25.051888,121.5401689
3分鐘,45,南京敦化路口(小巨蛋),1055100220,25.051703,121.5483534
6分鐘,46,南京寧安街口,1058000020,25.051548,121.5547373
10分鐘,47,博仁醫院,1056000040,25.04937,121.55774
12分鐘,48,臺北市區監理所(光復),1055500040,25.04762,121.5577342
3分鐘,52,三張犁,1069500040,25.034098,121.5573365
7分鐘,53,世貿中心(莊敬),1104900140,25.031446,121.56127
8分鐘,54,景新里,1104900440,25.02923,121.5624103
9分鐘,55,臺北醫學大學,1105000340,25.028273,121.5632643
11分鐘,56,信義國中(莊敬),1105000240,25.027402,121.565724
13分鐘,57,吳興國小(松仁),1104600040,25.026231,121.568554
3分鐘,61,信義國中(松仁),1105900000,25.02881,121.568464
4分鐘,62,松平路口,1105800300,25.03124,121.56839
6分鐘,63,信義松仁路口(松仁),1105800400,25.03369,121.5684464
9分鐘,64,松壽路口,1105100460,25.035881,121.5666401
10分鐘,65,市政府(松壽),1105100360,25.035907,121.5646562
5分鐘,67,捷運市政府站,1107100120,25.041057,121.5653493
