"tablescraper-selected-row href","name","tablescraper-selected-row","tablescraper-selected-row 3"
"https://twcoupon.com/brandshop-16945-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%b7%a7%e9%be%8d%e9%96%80%e5%b8%82.html","巧龍門市","基隆市七堵區百三街61號","02-24517061"
"https://twcoupon.com/brandshop-16981-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%ad%a3%e5%85%89%e9%96%80%e5%b8%82.html","正光門市","基隆市七堵區自治街9號11號","02-24564983"
"https://twcoupon.com/brandshop-17122-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e4%b8%83%e5%a0%b5%e9%96%80%e5%b8%82.html","七堵門市","基隆市七堵區明德一路174號","02-24562044"
"https://twcoupon.com/brandshop-18042-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%96%b0%e4%ba%94%e7%a6%8f%e9%96%80%e5%b8%82.html","新五福門市","基隆市七堵區福五街80號82號1樓","02-24529901"
"https://twcoupon.com/brandshop-18028-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%96%b0%e5%a4%a7%e6%85%b6%e9%96%80%e5%b8%82.html","新大慶門市","基隆市中山區中和路168巷7弄13號15號1樓","02-24367046"
"https://twcoupon.com/brandshop-17653-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%af%8c%e8%8f%af%e9%96%80%e5%b8%82.html","富華門市","基隆市中山區中華路9號","02-24369132"
"https://twcoupon.com/brandshop-18616-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e8%81%96%e5%bf%83%e9%96%80%e5%b8%82.html","聖心門市","基隆市中山區西定路38號40號","02-24249719"
"https://twcoupon.com/brandshop-16310-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%97%ad%e6%9d%b1%e9%96%80%e5%b8%82.html","旭東門市","基隆市中正區中正路54號","02-24274196"
"https://twcoupon.com/brandshop-14866-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%b5%b7%e6%b4%8b%e9%96%80%e5%b8%82.html","海洋門市","基隆市中正區中正路609號1樓","02-24637174"
"https://twcoupon.com/brandshop-18762-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%bc%81%e6%b8%af%e9%96%80%e5%b8%82.html","漁港門市","基隆市中正區中正路672號1樓","02-24634393"
