時間 (s),位移 (in),速度 (in/s),加速度 (in/s²),彈簧力 (k)
0.0000,0.0000,40.0000,-100.5306,0.0000
0.0050,0.1980,39.1898,-223.5450,125.0506
0.0100,0.3904,37.7771,-341.5349,246.5910
0.0150,0.5743,35.7915,-452.7185,362.7650
0.0200,0.7470,33.2711,-555.4424,471.8234
0.0250,0.9058,30.2620,-648.2063,572.1500
0.0300,1.0487,26.8781,-705.3480,572.1500
0.0350,1.1746,23.4969,-647.1136,572.1500
0.0400,1.2840,20.2867,-636.9639,572.1500
0.0450,1.3776,17.1268,-627.0103,572.1500
0.0500,1.4554,14.0162,-617.2122,572.1500
0.0550,1.5179,10.9543,-607.5673,572.1500
0.0600,1.5651,7.9402,-598.0731,572.1500
0.0650,1.5974,4.9732,-588.7273,572.1500
0.0700,1.6150,2.0525,-579.5275,572.1500
0.0750,1.6180,-0.8225,-570.4714,572.1500
0.0800,1.6069,-3.6385,-555.9609,565.1055
0.0850,1.5819,-6.3618,-533.3251,549.3138
0.0900,1.5436,-8.9517,-502.6342,525.1321
0.0950,1.4928,-11.3694,-464.4682,493.0426
0.1000,1.4304,-13.5794,-419.5168,453.6453
0.1050,1.3576,-15.5496,-368.5669,407.6471
0.1100,1.2756,-17.2522,-312.4895,355.8489
0.1150,1.1858,-18.6640,-252.2251,299.1327
0.1200,1.0897,-19.7665,-188.7678,238.4462
0.1250,0.9889,-20.5463,-123.1490,624.6631
0.1300,0.8823,-22.1085,-501.7413,557.3058
0.1350,0.7660,-24.4190,-422.4616,483.8331
0.1400,0.6391,-26.3191,-337.5645,403.7113
0.1450,0.5039,-27.7841,-248.4468,318.2756
0.1500,0.3624,-28.7966,-156.5541,228.9276
0.1550,0.2171,-29.3464,-63.3573,137.1125
0.1600,0.0701,-29.4306,29.6706,44.2963
0.1650,-0.0761,-29.0537,121.0775,-48.0578
0.1700,-0.2193,-28.2274,209.4548,-138.5119
0.1750,-0.3573,-26.9701,293.4587,-225.6756
0.1800,-0.4880,-25.3069,371.8305,-308.2276
0.1850,-0.6094,-23.2688,443.4153,-384.9347
0.1900,-0.7198,-20.8923,507.1784,-454.6705
0.1950,-0.8176,-18.2188,562.2205,-516.4318
0.2000,-0.9014,-15.2938,607.7897,-569.3524
0.2050,-0.9700,-12.1661,643.2915,-612.7149
0.2100,-1.0227,-8.9155,656.9281,-612.7149
0.2150,-1.0593,-5.6941,631.6398,-612.7149
0.2200,-1.0799,-2.5606,621.7574,-612.7149
0.2250,-1.0850,0.5239,612.0415,-612.7149
0.2300,-1.0748,3.5474,597.3702,-606.2858
0.2350,-1.0497,6.4763,574.1805,-590.4571
0.2400,-1.0104,9.2675,542.3040,-565.5957
0.2450,-0.9575,11.8791,502.3471,-604.8149
0.2500,-0.8917,14.4523,526.9119,-563.2343
0.2550,-0.8132,16.9472,471.0578,-513.6506
0.2600,-0.7230,19.1462,408.5352,-456.6546
0.2650,-0.6225,21.0185,340.4043,-393.2295
0.2700,-0.5136,22.5390,267.8000,-324.4466
0.2750,-0.3981,23.6883,191.9128,-251.4478
0.2800,-0.2777,24.4530,113.9696,-175.4266
0.2850,-0.1545,24.8260,35.2145,-97.6088
0.2900,-0.0304,24.8063,-43.1114,-19.2333
0.2950,0.0926,24.3990,-119.7891,58.4679
0.3000,0.2126,23.6154,-193.6405,134.2887
0.3050,0.3278,22.4725,-263.5465,207.0672
0.3100,0.4365,20.9924,-328.4633,275.7037
0.3150,0.5370,19.2027,-387.4383,339.1769
0.3200,0.6278,17.1350,-439.6235,396.5586
0.3250,0.7077,14.8252,-484.2877,447.0279
0.3300,0.7756,12.3125,-520.8262,489.8817
0.3350,0.8304,9.6385,-548.7691,524.5450
0.3400,0.8717,6.8471,-567.7863,550.5778
0.3450,0.8987,3.9834,-577.6918,567.6805
0.3500,0.9114,1.0931,-578.4439,575.6968
0.3550,0.9097,-1.7784,-570.1449,574.6145
0.3600,0.8938,-4.5864,-553.0370,564.5637
0.3650,0.8641,-7.2877,-527.4971,545.8131
0.3700,0.8213,-9.8415,-494.0295,518.7639
0.3750,0.7662,-12.2097,-453.2558,483.9422
0.3800,0.6997,-14.3576,-405.9044,441.9889
0.3850,0.6232,-16.2544,-352.7971,393.6487
0.3900,0.5379,-17.8735,-294.8358,339.7565
0.3950,0.4452,-19.1930,-232.9867,281.2239
0.4000,0.3467,-20.1962,-168.2651,219.0234
0.4050,0.2441,-20.8711,-101.7184,154.1731
0.4100,0.1389,-21.2114,-34.4095,87.7194
0.4150,0.0328,-21.2160,32.6001,20.7213
0.4200,-0.0725,-20.8888,98.2665,-45.7674
0.4250,-0.1753,-20.2392,161.5801,-110.7136
0.4300,-0.2741,-19.2813,221.5803,-173.1214
0.4350,-0.3674,-18.0339,277.3707,-232.0467
0.4400,-0.4538,-16.5201,328.1314,-286.6119
0.4450,-0.5320,-14.7670,373.1315,-336.0182
0.4500,-0.6009,-12.8048,411.7394,-379.5575
0.4550,-0.6596,-10.6669,443.4310,-416.6223
0.4600,-0.7072,-8.3888,467.7969,-446.7136
0.4650,-0.7432,-6.0080,484.5475,-469.4479
0.4700,-0.7671,-3.5628,493.5156,-484.5613
0.4750,-0.7788,-1.0924,494.6578,-491.9124
0.4800,-0.7781,1.3644,488.0537,-491.4828
0.4850,-0.7653,3.7693,473.9028,-483.3760
0.4900,-0.7406,6.0854,452.5201,-467.8143
0.4950,-0.7047,8.2775,424.3300,-445.1335
0.5000,-0.6582,10.3130,389.8577,-415.7769
0.5050,-0.6021,12.1619,349.7202,-380.2863
0.5100,-0.5372,13.7977,304.6154,-339.2928
