Time (s),Ground Accel (m/s²),Floor Disp (m),Floor Vel (m/s),Floor Accel (m/s²),Damper Rel Disp (m),Damper Rel Vel (m/s),Damper Rel Accel (m/s²),Damper Abs Disp (m),Damper Abs Accel (m/s²)
0.01,0.005283627741000001,0.0,0.0,-0.005283627741000001,0.0,0.0,0.0,0.0,-0.005283627741000001
0.02,0.005259905199,-2.635257696237507e-07,-5.270515392475014e-05,-0.0052574030439500275,-3.283329000500533e-10,-6.566658001001066e-08,-1.3133316002002132e-05,-2.6385410252380075e-07,-0.005270536359952029
0.03,0.005228682912000001,-1.052592846367636e-06,-0.00010510826142402691,-0.0052232184559053265,-1.9758425045849604e-09,-2.6383534089697083e-07,-2.65004361753899e-05,-1.054568688872221e-06,-0.005249718892080716
0.04,0.0051944234490000005,-2.3638944756725093e-06,-0.00015715206443694775,-0.00518554214667884,-6.2787990304197275e-09,-5.967559642699825e-07,-4.008368849921243e-05,-2.370173274702929e-06,-0.005225625835178052
0.05,0.005170694040000001,-4.194002253250585e-06,-0.00020886949107866743,-0.005157943181665095,-1.459563917580133e-08,-1.0666120648063381e-06,-5.3887531608058695e-05,-4.2085978924263864e-06,-0.005211830713273154
0.06,0.005148496953,-6.53993135065533e-06,-0.0002603163284022816,-0.005131424283057742,-2.8307005832852714e-08,-1.6756612666039385e-06,-6.79223087514614e-05,-6.568238356488183e-06,-0.005199346591809204
0.07,0.005102914788,-9.3984071430516e-06,-0.00031137883007697234,-0.005081076051880404,-4.881558721418651e-08,-2.4260550096628203e-06,-8.2156439860315e-05,-9.447222730265786e-06,-0.005163232491740719
0.08,0.0050461796340000005,-1.276470091034958e-05,-0.0003618799233826236,-0.005019142609249838,-7.754359558363382e-08,-3.319546664226642e-06,-9.654189105244934e-05,-1.2842244505933214e-05,-0.005115684500302287
0.09,0.0050131169910000006,-1.6633490007109004e-05,-0.0004118778959692612,-0.004980451908077677,-1.1592981538195728e-07,-4.357697295438048e-06,-0.00011108823518983193,-1.674941982249096e-05,-0.005091540143267508
0.1,0.005003624835,-2.1000902654772792e-05,-0.00046160463356349643,-0.004964895610769365,-1.6543021040589132e-07,-5.542381709348762e-06,-0.0001258486475923109,-2.1166332865178682e-05,-0.005090744258361676
0.11,0.005006382426,-2.5865100062935294e-05,-0.0005112348480690041,-0.004961147290332158,-2.2752182913241156e-07,-6.875942035955286e-06,-0.000140863417728994,-2.6092621892067706e-05,-0.005102010708061152
0.12,0.004964629104,-3.122428860556842e-05,-0.0005606028604576205,-0.004912455187391129,-3.0370506077758624e-07,-8.360704293079651e-06,-0.0001560890336958788,-3.1527993666346e-05,-0.0050685442210870076
0.13,0.004900030254,-3.7074141174937474e-05,-0.0006093676534161909,-0.0048405034043229435,-3.9550026228882364e-07,-9.998336009167828e-06,-0.00017143730952175678,-3.7469641437226295e-05,-0.005011940713844701
0.14,0.00488213289,-4.3409201271389696e-05,-0.0006576443658742535,-0.004814839087289568,-5.044428481440246e-07,-1.1790181161872364e-05,-0.00018693172101915057,-4.391364411953372e-05,-0.005001770808308719
0.15,0.004893647868000001,-5.022646990196215e-05,-0.0007058093602402378,-0.0048181597859072835,-6.320844907200718e-07,-1.373814735333708e-05,-0.00020266151727379268,-5.085855439268223e-05,-0.0050208213031810766
0.16,0.004961248578000001,-5.752694549839776e-05,-0.0007542857590468836,-0.004877119975421884,-7.80000747392057e-07,-1.584510398105996e-05,-0.00021872980827078312,-5.830694624578982e-05,-0.005095849783692667
0.17,0.005060384514,-6.531590973657429e-05,-0.0008035070885884222,-0.0049671459328858416,-9.498011516164882e-07,-1.811497686382627e-05,-0.00023524476828247883,-6.626571088819078e-05,-0.005202390701168321
0.18,0.004994705583,-7.359745709285632e-05,-0.0008528023826679834,-0.004891912883026417,-1.1431330861842122e-06,-2.0551410049718522e-05,-0.00025204186889597177,-7.474059017904053e-05,-0.005143954751922388
0.19,0.004788756405,-8.23646796807728e-05,-0.0009006421349153143,-0.0046760375664397615,-1.3616667003111388e-06,-2.3155312775666818e-05,-0.0002687386762936875,-8.372634638108395e-05,-0.004944776242733449
0.2,0.0046710883980000005,-9.1601704398873e-05,-0.0009467628087047256,-0.00454809719144249,-1.6070697757916717e-06,-2.5925302320439746e-05,-0.00028525923266089825,-9.320877417466468e-05,-0.004833356424103388
0.21,0.004634162577,-0.00010129554812745415,-0.0009920059370115036,-0.004500528469913123,-1.880999315653867e-06,-2.886060565199929e-05,-0.00030180143365101053,-0.00010317654744310802,-0.004802329903564134
0.22,0.004591340946000001,-0.00011143928780645887,-0.0010367419987894408,-0.004446683885674307,-2.185111677304329e-06,-3.1961866678093164e-05,-0.0003184507715677637,-0.0001136243994837632,-0.0047651346572420705
0.23,0.004544607087,-0.00012202758874796737,-0.00108091818951226,-0.004388554258889521,-2.521071349657501e-06,-3.5230067792541186e-05,-0.0003351894513218411,-0.00012454866009762488,-0.004723743710211363
0.24,0.004644801522,-0.00013305840828839682,-0.0011252457185736305,-0.004476951553384556,-2.890556507702739e-06,-3.866696381650643e-05,-0.00035218975347120783,-0.00013594896479609956,-0.004829141306855763
0.25,0.004831198389000001,-0.00014453906660234097,-0.001170885944215199,-0.004651093574929166,-3.2952743973559828e-06,-4.227661411414233e-05,-0.00036974030605597307,-0.00014783434099969697,-0.00502083388098514
0.26,0.0048462989219999995,-0.00015648054064188374,-0.0012174088636933542,-0.0046534903207018806,-3.7369775458902123e-06,-4.606401559270357e-05,-0.00038773998965627464,-0.00016021751818777395,-0.005041230310358155
0.27,0.004632306525,-0.00016888162735318168,-0.0012628084785662333,-0.004426432653873946,-4.217453511517524e-06,-5.003117753275876e-05,-0.000405692398354762,-0.0001730990808646992,-0.004832125052228709
0.28,0.00431341776,-0.0001817227281265677,-0.0013054116761109739,-0.004094206855074156,-4.7384869036773825e-06,-5.417550089921295e-05,-0.0004231722749360763,-0.0001864612150302451,-0.004517379130010232
0.29,0.004159211427,-0.0001949773601342386,-0.001345514725423205,-0.003926403007372081,-5.301827102410928e-06,-5.849253884749613e-05,-0.00044023531472055976,-0.00020027918723664954,-0.0043666383220926416
0.3,0.004333507659000001,-0.0002086328361385182,-0.001385580475432713,-0.004086746994529533,-5.909195346386423e-06,-6.298110994760291e-05,-0.0004574789053007964,-0.00021454203148490463,-0.004544225899830329
0.31,0.004521994056,-0.00022269733071152452,-0.0014273184391685513,-0.004260845752638143,-6.562326599125486e-06,-6.764514060020958e-05,-0.00047532722522053823,-0.00022925965731065,-0.0047361729778586815
0.32,0.004530368853,-0.00023718339680222315,-0.0014698947789711764,-0.0042544222078868986,-7.26300070342484e-06,-7.248968025966124e-05,-0.0004935807066697956,-0.00024444639750564797,-0.004748002914556694
0.33,0.00395472492,-0.00025208029873177154,-0.0015094856069385,-0.0036637433855778003,-8.0130192676246e-06,-7.751403258029068e-05,-0.0005112897574560929,-0.00026009331799939616,-0.004175033143033894
0.34,0.003128250078,-0.00026733730394536083,-0.0015419154357793586,-0.0028222223825939306,-8.814126705211924e-06,-8.270745493717424e-05,-0.0005273947139206171,-0.00027615143065057274,-0.0033496170965145477
