Time (s),Ground Accel (m/s²),Floor Disp (m),Floor Vel (m/s),Floor Accel (m/s²),Damper Rel Disp (m),Damper Rel Vel (m/s),Damper Rel Accel (m/s²),Damper Abs Disp (m),Damper Abs Accel (m/s²)
0.01,0.005283627741000001,0.0,0.0,-0.005283627741000001,0.0,0.0,0.0,0.0,-0.005283627741000001
0.02,0.005259905199,-2.634787894390954e-07,-5.269575788781908e-05,-0.005255523836563815,-3.9909386556140026e-10,-7.981877311228006e-08,-1.596375462245601e-05,-2.638778833046568e-07,-0.005271487591186271
0.03,0.005228682912000001,-1.0523109399165623e-06,-0.00010507067220767428,-0.005219459027407226,-2.397675344930556e-09,-3.1989752276155103e-07,-3.205199530739819e-05,-1.0547086152614929e-06,-0.005251511022714624
0.04,0.0051944234490000005,-2.3630017354937843e-06,-0.00015706748690777012,-0.005179903912611936,-7.60406371720398e-09,-7.213801516931339e-07,-4.824453047891839e-05,-2.3706057992109885e-06,-0.005228148443090854
0.05,0.005170694040000001,-4.191934871953771e-06,-0.0002087191403842273,-0.005150426782679498,-1.7637684838119296e-08,-1.2853440724899291e-06,-6.454825368044066e-05,-4.2095725567918905e-06,-0.005214975036359939
0.06,0.005148496953,-6.535937664381998e-06,-0.000260081418101418,-0.005122028760758643,-3.412925996575343e-08,-2.0129709530368976e-06,-8.097712242895305e-05,-6.570066924347752e-06,-0.005203005883187596
0.07,0.005102914788,-9.391547686402471e-06,-0.0003110405863026766,-0.005069804879493067,-5.872074699995964e-08,-2.9053264538043443e-06,-9.749397772453633e-05,-9.450268433402431e-06,-0.005167298857217603
0.08,0.0050461796340000005,-1.2753848820758262e-05,-0.0003614196405684816,-0.005006005973667938,-9.306241139633611e-08,-3.9630064254709485e-06,-0.00011404201660878454,-1.2846911232154598e-05,-0.005120047990276723
0.09,0.0050131169910000006,-1.6617331834675627e-05,-0.00041127696221499125,-0.004965458355633994,-1.3880940118886345e-07,-5.186391533034519e-06,-0.0001306350049039296,-1.675614123586449e-05,-0.005096093360537924
0.1,0.005003624835,-2.097793906175176e-05,-0.0004608444832002353,-0.004948045841414817,-1.976226801462183e-07,-6.576264258436451e-06,-0.0001473395401764569,-2.117556174189798e-05,-0.005095385381591274
0.11,0.005006382426,-2.5833645943327274e-05,-0.0005102968931148676,-0.004942436141511624,-2.7117395782174263e-07,-8.133991276668417e-06,-0.0001642058634699362,-2.6104819901149018e-05,-0.00510664200498156
0.12,0.004964629104,-3.118247287126891e-05,-0.0005594684924734596,-0.004891883730206776,-3.6114856305163826e-07,-9.860929769310708e-06,-0.0001811818350585219,-3.1543621434320546e-05,-0.005073065565265298
0.13,0.004900030254,-3.7019907020055e-05,-0.000608018337283759,-0.004818085231853086,-4.6924144479284103e-07,-1.1757646578929847e-05,-0.00019816152686530567,-3.7489148464847844e-05,-0.005016246758718391
0.14,0.00488213289,-4.334030712681574e-05,-0.0006560616840683888,-0.004790584125072889,-5.971513432843239e-07,-1.3824333119366738e-05,-0.00021517578122207259,-4.393745847010006e-05,-0.005005759906294962
0.15,0.004893647868000001,-5.0140490194343366e-05,-0.0007039749294371361,-0.0047920649486765604,-7.465824452051416e-07,-1.6061887264796784e-05,-0.00023233504786393638,-5.0887072639548506e-05,-0.0050243999965404965
0.16,0.004961248578000001,-5.742127029775207e-05,-0.0007521810912446042,-0.004849167412817052,-9.192538313660085e-07,-1.8472389967376603e-05,-0.00024976549265202724,-5.834052412911808e-05,-0.0050989329054690795
0.17,0.005060384514,-6.518774295959971e-05,-0.0008011134411249243,-0.004937302563246975,-1.1169118225045167e-06,-2.1059208260325038e-05,-0.00026759816593765974,-6.630465478210422e-05,-0.005204900729184635
0.18,0.004994705583,-7.344381417690845e-05,-0.0008501008023368237,-0.004860169679132892,-1.3413346428504055e-06,-2.3825355808852714e-05,-0.00028563134376787555,-7.478514881975885e-05,-0.005145801022900768
0.19,0.004788756405,-8.218238745028839e-05,-0.0008976138523391633,-0.0046424403213350335,-1.594313996652206e-06,-2.6770514951507372e-05,-0.0003034004847630561,-8.377670144694059e-05,-0.004945840806098089
0.2,0.0046710883980000005,-9.138740452477556e-05,-0.0009433895625582714,-0.0045127017224865845,-1.8776246138106025e-06,-2.989160848017195e-05,-0.00032081822096985976,-9.326502913858617e-05,-0.004833519943456445
0.21,0.004634162577,-0.00010104570172510518,-0.0009882698775076529,-0.004463361267389714,-2.193014425577201e-06,-3.3186353873147735e-05,-0.00033813085762529735,-0.00010323871615068238,-0.0048014921250150115
0.22,0.004591340946000001,-0.00011115017849960509,-0.0010326254773923287,-0.004407758709545468,-2.5422173737733654e-06,-3.6654235766085154e-05,-0.0003554455209621865,-0.00011369239587337845,-0.004763204230507655
0.23,0.004544607087,-0.00012169532441983315,-0.0010764037066532844,-0.004347887142645662,-2.9269644362492397e-06,-4.02951767290897e-05,-0.0003727426716387221,-0.0001246222888560824,-0.0047206298142843835
